date	not classified by submitter	classified by single submitter	classified by multiple submitters	reviewed by expert panel	reviewed by professional society
12-Dec-01	0.6039716670882874	97.80546420440172	1.587401973184923	0.0	0.003162155325069567
13-Jan-01	0.6283467979075742	96.82112235738384	2.547435540285387	0.0	0.0030953044231900205
13-Apr-01	4.076181225282731	92.87101921876084	3.0527995559564283	0.0	0.0
13-May-01	3.3818210618020537	94.05211330816547	2.5660656300324716	0.0	0.0
13-Aug-01	3.5755855506320064	85.89777623491453	2.0420248718629392	8.437646770537665	0.046966572052847606
13-Sep-01	3.552887735236859	94.22655743024009	2.1739130434782608	0.0	0.046641791044776115
13-Oct-01	5.0228310502283104	92.89545572371438	2.035851727782098	0.0	0.04586149827520887
13-Nov-01	30.326487792472022	67.37347405900304	2.087042217700916	0.17643692777212613	0.03655900305188199
13-Dec-01	30.33442269251515	67.34778056287082	2.1052130596186185	0.17609544055589046	0.036488244439508835
14-Jan-01	28.89464646160335	65.3300394661525	2.018497876058205	3.7221703371192723	0.034645859066670684
14-Feb-01	31.868815893558804	62.893416155512035	2.003553227082334	3.204388365126502	0.02982635872031953
14-Mar-01	34.70070487735627	60.30836841260631	1.9121804288518278	3.0503536731393583	0.028392608046218227
14-Apr-01	27.0738326385586	68.15040707271353	2.4498969495192533	2.3044139178766936	0.021449421331915807
14-May-01	26.81901784072099	68.42468272944639	2.460915946293912	2.2742321132977747	0.021151370240941696
14-Jun-01	26.028149552246738	68.77064935295003	2.9903363242601664	2.1904922185709097	0.02037255197215161
14-Jul-01	25.26389923921678	69.58423074088329	3.107828123592469	2.0252065743462917	0.018835321961166482
14-Aug-01	24.575666809299673	70.0486537029113	3.3978351479421227	1.9596190113947924	0.018225328452114928
