date	number
13-Aug-12	47
14-Feb-13	50
03-Mar-13	51
09-Apr-13	52
28-Oct-13	55
17-Jan-14	86
14-May-14	127
03-Jun-14	128
09-Jun-14	129
14-Jun-14	137
20-Jun-14	141
03-Jul-14	144
05-Aug-14	212
