date	number
13-Aug-12	45
14-Feb-13	46
26-Mar-13	47
09-Apr-13	49
02-May-13	58
28-Oct-13	62
17-Jan-14	67
01-Mar-14	70
14-May-14	99
03-Jun-14	101
04-Jun-14	104
05-Jun-14	110
09-Jun-14	122
14-Jun-14	128
19-Jun-14	131
05-Aug-14	228
