date	number
13-Aug-12	36
08-Nov-12	341
09-Apr-13	379
03-Jul-13	2275
06-Oct-13	2276
10-Oct-13	2277
28-Oct-13	2278
05-Nov-13	2281
09-Dec-13	2319
23-Dec-13	2631
05-Feb-14	2766
21-Mar-14	2768
30-Mar-14	4075
01-May-14	4084
03-Jun-14	4091
09-Jun-14	4137
14-Jun-14	4160
18-Jun-14	4221
18-Jul-14	4222
05-Aug-14	4680
