date	number
13-Aug-12	57
09-Apr-13	101
02-May-13	122
02-Aug-13	125
28-Oct-13	1061
17-Jan-14	1078
14-May-14	1142
03-Jun-14	1161
09-Jun-14	1205
14-Jun-14	1266
18-Jun-14	1285
05-Aug-14	1425
