date	number
13-Aug-12	40
18-Mar-13	146
02-Apr-13	148
02-May-13	213
03-Jul-13	216
02-Aug-13	218
30-Sep-13	227
28-Oct-13	228
16-Jan-14	242
17-Jan-14	243
30-Mar-14	245
09-Jun-14	249
20-Jun-14	257
