date	number
19-Feb-14	89706.00
20-Feb-14	89709.00
21-Feb-14	89728.00
24-Feb-14	89729.00
26-Feb-14	89733.00
01-Mar-14	89738.00
02-Mar-14	89743.00
10-Mar-14	89754.00
12-Mar-14	89766.00
13-Mar-14	94229.00
14-Mar-14	95729.00
15-Mar-14	102679.00
17-Mar-14	102682.00
18-Mar-14	102690.00
19-Mar-14	102698.00
20-Mar-14	103121.00
21-Mar-14	103122.00
22-Mar-14	103200.00
23-Mar-14	103212.00
30-Mar-14	103223.00
31-Mar-14	103232.00
02-Apr-14	103246.00
06-Apr-14	103249.00
07-Apr-14	103256.00
10-Apr-14	103257.00
12-Apr-14	103269.00
15-Apr-14	103273.00
16-Apr-14	103280.00
18-Apr-14	103282.00
19-Apr-14	104383.00
21-Apr-14	104398.00
23-Apr-14	104419.00
24-Apr-14	107555.00
25-Apr-14	107570.00
26-Apr-14	112829.00
27-Apr-14	112831.00
28-Apr-14	112840.00
30-Apr-14	112842.00
01-May-14	112847.00
04-May-14	112856.00
08-May-14	112857.00
09-May-14	112868.00
10-May-14	112872.00
14-May-14	112874.00
17-May-14	112884.00
22-May-14	112887.00
28-May-14	112892.00
30-May-14	112897.00
