2014-04-23,104419
2014-04-24,107555
2014-04-25,107570
2014-04-26,112829
2014-04-27,112831
2014-04-28,112840
2014-04-30,112842
2014-05-01,112847
2014-05-04,112856
2014-05-08,112857
2014-05-09,112868
2014-05-10,112872
2014-05-14,112874
2014-05-17,112884
2014-05-22,112887
2014-05-28,112892
2014-05-30,112897
