date	number
13-Aug-12	41
08-Nov-12	568
09-Apr-13	619
03-Jul-13	2819
22-Jul-13	2820
02-Aug-13	2822
08-Oct-13	2823
28-Oct-13	2825
09-Dec-13	2882
23-Dec-13	3392
05-Feb-14	3617
30-Mar-14	4472
31-Mar-14	4968
01-May-14	4972
08-May-14	4973
03-Jun-14	4989
09-Jun-14	5072
14-Jun-14	5116
18-Jun-14	5201
05-Aug-14	6061
