date	close
18-Apr-14	1032
19-Apr-14	1043
21-Apr-14	1043
23-Apr-14	1044
24-Apr-14	1075
25-Apr-14	1075
26-Apr-14	1128
27-Apr-14	1128
28-Apr-14	11284
30-Apr-14	11284
01-May-14	11284
04-May-14	11285
08-May-14	11285
09-May-14	11286
10-May-14	11287
14-May-14	11287
17-May-14	11288
22-May-14	11288
28-May-14	11289
30-May-14	11289
